Season,Rank,Team,P,W,D,L,GF,GA,GD,Pts,GAVG,Summary
2010/2011,1,Barcelona,38,30,6,2,95,21,74,96,4.52,Overall
2010/2011,2,Real Madrid,38,29,5,4,102,33,69,92,3.09,Overall
2010/2011,3,Valencia,38,21,8,9,64,44,20,71,1.45,Overall
2010/2011,4,Villarreal,38,18,8,12,54,44,10,62,1.23,Overall
2010/2011,5,Sevilla,38,17,7,14,62,61,1,58,1.02,Overall
2010/2011,6,Athletic Bilbao,38,18,4,16,59,55,4,58,1.07,Overall
2010/2011,7,Atletico Madrid,38,17,7,14,62,53,9,58,1.17,Overall
2010/2011,8,Espanyol,38,15,4,19,46,55,-9,49,0.84,Overall
2010/2011,9,Osasuna,38,13,8,17,45,46,-1,47,0.98,Overall
2010/2011,10,Sporting Gijon,38,11,14,13,35,42,-7,47,0.83,Overall
2010/2011,11,Malaga,38,13,7,18,54,68,-14,46,0.79,Overall
2010/2011,12,Racing Santander,38,12,10,16,41,56,-15,46,0.73,Overall
2010/2011,13,Real Zaragoza,38,12,9,17,40,53,-13,45,0.75,Overall
2010/2011,14,Levante,38,12,9,17,41,52,-11,45,0.79,Overall
2010/2011,15,Real Sociedad,38,14,3,21,49,66,-17,45,0.74,Overall
2010/2011,16,Getafe,38,12,8,18,49,60,-11,44,0.82,Overall
2010/2011,17,Mallorca,38,12,8,18,41,56,-15,44,0.73,Overall
2010/2011,18,Deportivo La Coruna,38,10,13,15,31,47,-16,43,0.66,Overall
2010/2011,19,Hercules,38,9,8,21,36,60,-24,35,0.6,Overall
2010/2011,20,Almeria,38,6,12,20,36,70,-34,30,0.51,Overall
2011/2012,1,Real Madrid,38,32,4,2,121,32,89,100,3.78,Overall
2011/2012,2,Barcelona,38,28,7,3,114,29,85,91,3.93,Overall
2011/2012,3,Valencia,38,17,10,11,59,44,15,61,1.34,Overall
2011/2012,4,Malaga,38,17,7,14,54,53,1,58,1.02,Overall
2011/2012,5,Atletico Madrid,38,15,11,12,53,46,7,56,1.15,Overall
2011/2012,6,Levante,38,16,7,15,54,50,4,55,1.08,Overall
2011/2012,7,Osasuna,38,13,15,10,44,61,-17,54,0.72,Overall
2011/2012,8,Mallorca,38,14,10,14,42,46,-4,52,0.91,Overall
2011/2012,9,Sevilla,38,13,11,14,48,47,1,50,1.02,Overall
2011/2012,10,Athletic Bilbao,38,12,13,13,49,52,-3,49,0.94,Overall
2011/2012,11,Getafe,38,12,11,15,40,51,-11,47,0.78,Overall
2011/2012,12,Real Sociedad,38,12,11,15,46,52,-6,47,0.88,Overall
2011/2012,13,Real Betis,38,13,8,17,47,56,-9,47,0.84,Overall
2011/2012,14,Espanyol,38,12,10,16,46,56,-10,46,0.82,Overall
2011/2012,15,Rayo Vallecano,38,13,4,21,53,73,-20,43,0.73,Overall
2011/2012,16,Real Zaragoza,38,12,7,19,36,61,-25,43,0.59,Overall
2011/2012,17,Granada,38,12,6,20,35,56,-21,42,0.63,Overall
2011/2012,18,Villarreal,38,9,14,15,39,53,-14,41,0.74,Overall
2011/2012,19,Sporting Gijon,38,10,7,21,42,69,-27,37,0.61,Overall
2011/2012,20,Racing Santander,38,4,15,19,28,63,-35,27,0.44,Overall
2012/2013,1,Barcelona,38,32,4,2,115,40,75,100,2.88,Overall
2012/2013,2,Real Madrid,38,26,7,5,103,42,61,85,2.45,Overall
2012/2013,3,Atletico Madrid,38,23,7,8,65,31,34,76,2.1,Overall
2012/2013,4,Real Sociedad,38,18,12,8,70,49,21,66,1.43,Overall
2012/2013,5,Valencia,38,19,8,11,67,54,13,65,1.24,Overall
2012/2013,6,Malaga,38,16,9,13,53,50,3,57,1.06,Overall
2012/2013,7,Real Betis,38,16,8,14,57,56,1,56,1.02,Overall
2012/2013,8,Rayo Vallecano,38,16,5,17,50,66,-16,53,0.76,Overall
2012/2013,9,Sevilla,38,14,8,16,58,54,4,50,1.07,Overall
2012/2013,10,Getafe,38,13,8,17,43,57,-14,47,0.75,Overall
2012/2013,11,Levante,38,12,10,16,40,57,-17,46,0.7,Overall
2012/2013,12,Athletic Bilbao,38,12,9,17,44,65,-21,45,0.68,Overall
2012/2013,13,Espanyol,38,11,11,16,43,52,-9,44,0.83,Overall
2012/2013,14,Real Valladolid,38,11,10,17,49,58,-9,43,0.84,Overall
2012/2013,15,Granada,38,11,9,18,37,54,-17,42,0.69,Overall
2012/2013,16,Osasuna,38,10,9,19,33,50,-17,39,0.66,Overall
2012/2013,17,Celta Vigo,38,10,7,21,37,52,-15,37,0.71,Overall
2012/2013,18,Mallorca,38,9,9,20,43,72,-29,36,0.6,Overall
2012/2013,19,Deportivo La Coruna,38,8,11,19,47,70,-23,35,0.67,Overall
