Team,Location,Stadium,Capacity,Season
Almería,Almería,Juegos Mediterraneo,22000,2010/2011
Athletic Bilbao,Bilbao,San Mames,39750,2010/2011
Atletico Madrid,Madrid,Vicente Calderon,54851,2010/2011
Barcelona,Barcelona,Camp Nou,99354,2010/2011
Deportivo La Coruna,A Coruna,Riazor,34600,2010/2011
Espanyol,Barcelona,Cornella-El Prat,40500,2010/2011
Getafe,Madrid,Coliseum Alfonso Perez,17700,2010/2011
Hercules,Alicante,Estadio Jose Rico Perez,30000,2010/2011
Levante,Valencia,Ciutat de Valencia,25534,2010/2011
Malaga,Malaga,La Rosaleda,28963,2010/2011
Mallorca,Palma,Iberostar,23142,2010/2011
Osasuna,Pamplona,Estadio Reyno de Navarra,19800,2010/2011
Racing Santander,Santander,El Sardinero,22271,2010/2011
Real Madrid,Madrid,Santiago Bernabeu,80354,2010/2011
Real Sociedad,San Sebastian,Estadio Anoeta,32076,2010/2011
Sevilla,Seville,Ramon Sanchez Pizjuan,45500,2010/2011
Sporting Gijon,Gijon,El Molinon,29800,2010/2011
Valencia,Valencia,Mestalla,55000,2010/2011
Villarreal,Vilarreal,El Madrigal,25000,2010/2011
Zaragoza,Zaragoza,La Romareda,34596,2010/2011
Athletic Bilbao,Bilbao,San Mames,39750,2011/2012
Atletico Madrid,Madrid,Vicente Calderon,54851,2011/2012
Barcelona,Barcelona,Camp Nou,99354,2011/2012
Real Betis,Seville,Benito Villamarín,52745,2011/2012
Espanyol,Barcelona,Cornella-El Prat,40500,2011/2012
Getafe,Madrid,Coliseum Alfonso Perez,17700,2011/2012
Granada,Granada,Nuevo Los Carmenes,22524,2011/2012
Levante,Valencia,Ciutat de Valencia,25534,2011/2012
Malaga,Malaga,La Rosaleda,28963,2011/2012
Mallorca,Palma,Iberostar Stadium,23142,2011/2012
Osasuna,Pamplona,El Sadar,19553,2011/2012
Racing Santander,Santander,El Sardinero,22271,2011/2012
Rayo Vallecano,Madrid,Campo de Vallecas,15489,2011/2012
Real Madrid,Madrid,Santiago Bernabeu,85454,2011/2012
Real Sociedad,San Sebastian,Anoeta,32076,2011/2012
Sevilla,Seville,Ramon Sanchez Pizjuan,45500,2011/2012
Sporting Gijon,Gijon,El Molinon,29800,2011/2012
Valencia,Valencia,Mestalla,55000,2011/2012
Villarreal,Vilarreal,El Madrigal,25000,2011/2012
Zaragoza,Zaragoza,La Romareda,34596,2011/2012
Athletic Bilbao,Bilbao,San Mames,39750,2012/2013
Atletico Madrid,Madrid,Vicente Calderon,54851,2012/2013
Barcelona,Barcelona,Camp Nou,99354,2012/2013
Real Betis,Seville,Benito Villamarín,52745,2012/2013
Celta Vigo,Vigo,Balaidos,31800,2012/2013
Deportivo La Coruna,A Coruna,Riazor,34600,2012/2013
Espanyol,Barcelona,Cornella-El Prat,40500,2012/2013
Getafe,Madrid,Coliseum Alfonso Perez,17700,2012/2013
Granada,Granada,Nuevo Los Carmenes,22524,2012/2013
Levante,Valencia,Ciutat de Valencia,25534,2012/2013
Malaga,Malaga,La Rosaleda,28963,2012/2013
Mallorca,Palma,Iberostar Stadium,23142,2012/2013
Osasuna,Pamplona,El Sadar,19553,2012/2013
Rayo Vallecano,Madrid,Campo de Vallecas,15489,2012/2013
Real Madrid,Madrid,Santiago Bernabeu,85454,2012/2013
Real Sociedad,San Sebastian,Anoeta,32076,2012/2013
Sevilla,Seville,Ramon Sanchez Pizjuan,45500,2012/2013
Valencia,Valencia,Mestalla,55000,2012/2013
Valladolid,Valladolid,Jose Zorrilla,26512,2012/2013
Zaragoza,Zaragoza,La Romareda,34596,2012/2013
Almería,Almería,Juegos Mediterraneos,22000,2013/2014
Athletic Bilbao,Bilbao,San Mames,53332,2013/2014
Atletico Madrid,Madrid,Vicente Calderon,54851,2013/2014
Barcelona,Barcelona,Camp Nou,99354,2013/2014
Celta Vigo,Vigo,Balaidos,31800,2013/2014
Elche,Elche,Martinez Valero,36017,2013/2014
Espanyol,Barcelona,Cornella-El Prat,40500,2013/2014
Getafe,Madrid,Coliseum Alfonso Perez,17700,2013/2014
Granada,Granada,Nuevo Los Carmenes,22524,2013/2014
Levante,Valencia,Ciutat de Valencia,25534,2013/2014
Malaga,Malaga,La Rosaleda,30044,2013/2014
Osasuna,Pamplona,El Sadar,19553,2013/2014
Rayo Vallecano,Madrid,Campo de Vallecas,15489,2013/2014
Real Betis,Seville,Benito Villamarín,52500,2013/2014
Real Madrid,Madrid,Santiago Bernabeu,85454,2013/2014
Real Sociedad,San Sebastian,Anoeta,32076,2013/2014
Sevilla,Seville,Ramon Sanchez Pizjuan,45500,2013/2014
Valencia,Valencia,Mestalla,55000,2013/2014
Valladolid,Valladolid,Jose Zorrilla,26512,2013/2014
Villarreal,Villarreal,El Madrigal,24890,2013/2014
Almería,Almería,Juegos Mediterraneos,21350,2014/2015
Athletic Bilbao,Bilbao,San Mames,53289,2014/2015
Atletico Madrid,Madrid,Vicente Calderon,54907,2014/2015
Barcelona,Barcelona,Camp Nou,99786,2014/2015
Celta Vigo,Vigo,Balaidos,31800,2014/2015
Cordoba,Cordoba,El Arcangel,21822,2014/2015
Deportivo La Coruna,A Coruna,Riazor,34600,2014/2015
Eibar,Eibar,Ipurua,6000,2014/2015
Elche,Elche,Martinez Valero,36017,2014/2015
Espanyol,Barcelona,Cornella-El Prat,40500,2014/2015
Getafe,Madrid,Coliseum Alfonso Perez,17393,2014/2015
Granada,Granada,Nuevo Los Carmenes,23156,2014/2015
Levante,Valencia,Ciutat de Valencia,26354,2014/2015
Malaga,Malaga,La Rosaleda,30044,2014/2015
