Rank,Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Season
1,Barcelona,3,3,6,9,12,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,58,61,62,65,68,71,74,75,78,81,84,85,88,88,91,92,93,96,2010/2011
2,Real Madrid,1,4,7,10,11,14,17,20,23,26,29,32,32,35,38,41,44,47,48,51,51,54,57,60,61,64,67,70,73,73,76,77,80,80,83,86,89,92,2010/2011
3,Valencia,3,6,9,10,13,16,16,16,17,17,20,21,24,24,25,28,31,34,37,40,41,44,47,48,51,51,54,54,54,57,60,63,63,63,66,67,68,71,2010/2011
4,Villarreal,0,3,6,9,12,15,16,19,20,23,23,24,27,30,30,33,36,36,39,42,45,45,45,46,47,50,50,51,54,54,54,57,57,60,61,62,62,62,2010/2011
5,Sevilla,3,4,7,8,8,11,11,14,14,17,20,20,20,20,20,20,23,26,26,29,30,31,31,34,35,38,38,39,42,45,46,46,49,52,52,52,55,58,2010/2011
6,Athletic Bilbao,3,3,4,7,7,7,10,10,13,13,16,16,19,19,22,25,25,26,29,32,35,38,38,38,38,38,41,42,42,45,45,48,51,51,54,54,55,58,2010/2011
7,Atletico Madrid,3,6,6,7,10,10,13,13,14,14,17,20,20,20,23,26,27,27,30,30,30,30,30,33,34,35,38,39,39,42,45,46,49,52,52,52,55,58,2010/2011
8,Espanyol,3,3,6,6,9,9,12,15,15,18,19,22,25,28,28,28,28,31,34,37,37,37,37,37,40,40,40,43,43,43,44,45,45,48,48,49,49,49,2010/2011
9,Osasuna,1,1,1,4,4,5,6,9,9,12,12,15,15,15,16,17,17,18,18,18,21,22,22,25,25,26,29,32,35,35,35,35,35,38,41,44,44,47,2010/2011
10,Sporting Gijon,0,3,4,4,4,5,8,8,9,10,10,10,10,10,11,12,12,13,16,19,22,22,23,24,25,25,28,29,32,35,38,38,41,42,43,43,46,47,2010/2011
11,Malaga,0,3,3,6,6,7,7,7,7,7,10,10,10,13,13,13,16,17,17,17,17,18,19,20,23,23,23,26,29,29,30,33,36,39,42,45,46,46,2010/2011
12,Racing Santander,0,0,3,4,4,4,7,7,10,10,11,11,14,14,17,18,19,20,20,20,21,22,25,28,29,30,30,30,33,36,37,37,37,40,43,46,46,46,2010/2011
13,Real Zaragoza,1,1,1,2,2,3,3,3,4,7,7,8,8,9,9,10,13,13,16,19,22,23,23,23,24,27,27,30,30,30,33,33,36,39,39,39,42,45,2010/2011
14,Levante,0,0,0,3,4,5,8,8,8,8,8,11,11,14,15,15,15,15,15,15,18,21,24,24,27,28,31,32,35,38,39,42,42,43,43,44,45,45,2010/2011
15,Real Sociedad,3,4,4,4,4,7,7,10,13,16,16,16,19,22,22,22,22,22,25,25,28,28,31,34,34,35,35,35,35,35,35,38,38,41,41,44,44,45,2010/2011
16,Getafe,0,3,4,4,7,10,10,13,13,13,13,14,17,20,23,26,26,27,27,27,27,30,31,31,32,33,33,34,35,34,34,37,37,37,40,40,43,44,2010/2011
17,Mallorca,1,1,4,4,7,8,8,11,14,14,15,18,21,21,21,21,24,27,27,27,27,28,31,31,31,34,34,35,38,39,39,39,42,42,43,44,44,44,2010/2011
18,Deportivo La Coruna,1,2,3,3,3,3,4,4,7,10,11,14,14,14,17,18,21,21,21,21,22,22,25,26,27,28,31,31,31,34,35,38,38,38,39,42,43,43,2010/2011
19,Hercules,0,3,3,4,7,7,8,9,9,9,12,12,15,15,18,19,19,22,22,22,22,22,25,25,26,26,26,26,26,29,30,30,33,33,33,34,34,35,2010/2011
20,Almeria,1,2,2,2,5,6,6,7,8,9,9,9,9,10,13,13,13,13,14,17,17,20,20,21,21,22,25,26,26,26,26,26,26,26,26,27,30,30,2010/2011
1,Real Madrid,3,6,6,7,10,13,16,19,22,25,28,31,34,37,37,40,43,46,49,52,55,58,61,64,67,70,71,72,75,78,79,82,85,88,91,94,97,100,2011/2012
2,Barcelona,3,4,7,8,11,14,17,18,21,24,25,28,28,31,34,37,38,41,44,45,48,48,51,54,57,60,63,66,69,72,75,78,81,81,84,87,90,91,2011/2012
3,Valencia,3,6,9,10,10,13,14,15,18,21,24,24,27,30,30,33,34,34,35,36,37,40,40,40,43,44,47,47,47,48,49,52,52,55,55,58,61,61,2011/2012
4,Malaga,0,3,6,9,10,13,13,13,13,16,17,20,23,23,24,24,25,25,25,28,28,31,31,34,37,40,41,44,47,47,50,50,51,52,55,52,55,58,2011/2012
5,Atletico Madrid,1,1,4,7,7,8,9,10,10,13,13,16,16,19,19,19,20,23,26,29,30,31,32,32,33,36,36,39,39,42,42,42,45,48,49,50,53,56,2011/2012
