Rank,Team,Goals,Shots pg,Yellow Card,Red Card,Possession%,Pass%,AerialsWon,Rating,Season,Summary
1,Barcelona,95,15.8,71,2,67.4,89.6,6.2,7.21,2010/2011,Overall
2,Real Madrid,102,19.1,94,7,55,82.9,10.1,7.2,2010/2011,Overall
3,Valencia,64,13.1,112,8,0,80,11.8,6.97,2010/2011,Overall
4,Villarreal,54,13.9,88,5,52.7,82.2,7.8,6.95,2010/2011,Overall
5,Atletico Madrid,62,15.1,106,5,49.9,76.6,10.7,6.89,2010/2011,Overall
6,Real Zaragoza,41,14,120,9,0,71.2,13.9,6.85,2010/2011,Overall
7,Sevilla,64,13.8,100,7,0,80.1,13.7,6.85,2010/2011,Overall
8,Osasuna,46,12.7,106,7,0,70.2,17,6.85,2010/2011,Overall
9,Sporting Gijon,35,11.6,109,6,45,72.5,12,6.85,2010/2011,Overall
10,Athletic Bilbao,59,13.4,103,7,48.1,74.2,15.6,6.84,2010/2011,Overall
11,Mallorca,41,13,88,4,47,74.1,15.6,6.83,2010/2011,Overall
12,Racing Santander,41,12.3,88,7,47.9,75.6,12.8,6.83,2010/2011,Overall
13,Malaga,54,11.8,102,7,48.9,78.3,11.9,6.83,2010/2011,Overall
14,Real Sociedad,46,11.3,80,0,0,70.8,16.3,6.81,2010/2011,Overall
15,Getafe,49,13.8,109,7,50.7,77,11.6,6.81,2010/2011,Overall
16,Deportivo La Coruna,31,11,85,5,45.2,75.2,14,6.78,2010/2011,Overall
17,Espanyol,46,12.3,109,5,51.9,77.3,10.2,6.75,2010/2011,Overall
18,Hercules,36,10.5,93,8,50.1,75.6,14.4,6.75,2010/2011,Overall
19,Levante,43,10.4,126,3,44,70.4,13.8,6.73,2010/2011,Overall
20,Almeria,38,12.2,101,4,0,73.5,13.8,6.72,2010/2011,Overall
1,Barcelona,114,16.5,74,5,65.4,88.4,5.7,7.25,2011/2012,Overall
2,Real Madrid,120,19.3,90,5,0,84.8,8.4,7.19,2011/2012,Overall
3,Malaga,54,14,72,7,51.4,79.1,11.7,6.96,2011/2012,Overall
4,Real Sociedad,46,12.6,78,8,46.8,74.6,13.9,6.95,2011/2012,Overall
5,Sevilla,47,15.4,109,8,0,77.1,15.3,6.94,2011/2012,Overall
6,Athletic Bilbao,50,12.2,105,8,0,79.2,12.2,6.93,2011/2012,Overall
7,Real Betis,47,13.6,101,7,50.8,77.6,11.4,6.93,2011/2012,Overall
8,Atletico Madrid,53,15.3,128,4,50.6,77.2,10.6,6.91,2011/2012,Overall
9,Valencia,56,13.4,128,7,0,78.9,11.4,6.9,2011/2012,Overall
10,Levante,55,10.3,118,4,42.8,69.7,12,6.9,2011/2012,Overall
11,Villarreal,39,12,97,5,50.4,78.2,11.3,6.89,2011/2012,Overall
12,Mallorca,41,11.5,118,6,20.7,70.4,17.3,6.87,2011/2012,Overall
13,Rayo Vallecano,52,12.9,127,4,23.7,71.4,14.5,6.87,2011/2012,Overall
14,Osasuna,44,12.3,98,8,0,66.7,18.6,6.87,2011/2012,Overall
15,Espanyol,46,13.1,129,7,52.9,77.7,9.7,6.83,2011/2012,Overall
16,Real Zaragoza,37,11.4,119,9,0,70.7,12.7,6.81,2011/2012,Overall
17,Getafe,40,9.8,126,8,46.6,71.7,15,6.81,2011/2012,Overall
18,Sporting Gijon,46,12.2,118,5,0,70.3,13,6.81,2011/2012,Overall
19,Granada,37,13,108,10,0,74.9,11.7,6.77,2011/2012,Overall
20,Racing Santander,30,9.4,115,8,0,69.1,13,6.74,2011/2012,Overall
1,Barcelona,113,13.9,56,3,64.9,89.3,9.5,7.2,2012/2013,Overall
2,Real Madrid,101,18.7,87,6,54.1,81.2,15.4,7.09,2012/2013,Overall
3,Atletico Madrid,66,13.4,96,5,48.2,76.9,18.1,6.96,2012/2013,Overall
4,Valencia,65,14.9,121,8,18.1,80,14.8,6.88,2012/2013,Overall
5,Real Sociedad,68,14.7,94,2,50.1,77.8,16.9,6.88,2012/2013,Overall
6,Malaga,54,11.6,90,6,0,79.7,15.4,6.84,2012/2013,Overall
7,Athletic Bilbao,45,12.6,113,9,54.5,78.8,15.8,6.83,2012/2013,Overall
8,Real Betis,57,11.9,113,7,0,74.3,15.2,6.81,2012/2013,Overall
9,Sevilla,58,14.5,95,4,52.5,79.3,16.3,6.81,2012/2013,Overall
10,Osasuna,33,13.3,110,10,49,68.2,25.3,6.81,2012/2013,Overall
11,Real Valladolid,52,10.2,77,3,0,77.3,16.7,6.79,2012/2013,Overall
12,Espanyol,44,10.8,143,12,0,70.8,17.7,6.77,2012/2013,Overall
13,Getafe,44,12.4,111,9,47.1,73.1,17,6.77,2012/2013,Overall
14,Rayo Vallecano,50,14.9,136,4,0,77.8,14.2,6.75,2012/2013,Overall
15,Granada,36,12.3,99,5,45.6,71.9,16.4,6.74,2012/2013,Overall
16,Celta Vigo,37,12.1,97,4,49,76.2,14.5,6.73,2012/2013,Overall
17,Levante,40,10.5,108,7,0,67.4,14.4,6.72,2012/2013,Overall
18,Deportivo La Coruna,46,13.8,96,8,49.1,78.4,13.4,6.71,2012/2013,Overall
19,Mallorca,43,12.8,98,7,0,71.8,19.8,6.67,2012/2013,Overall
20,Real Zaragoza,37,12.1,120,10,21.4,72.7,16.7,6.65,2012/2013,Overall
1,Real Madrid,103,19.5,74,3,0,85.5,15.6,7.21,2013/2014,Overall
2,Barcelona,96,16.6,69,1,63.7,88.1,12.8,7.18,2013/2014,Overall
3,Atletico Madrid,77,13.2,93,3,18.7,77,17.7,7.06,2013/2014,Overall
